Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM_XtoYHto4B_MX-1400_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	5.91359e+13 	5.91359e+13
NMSSM_XtoYHto4B_MX-1400_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	58000	4.77604e+13 	4.77604e+13
NMSSM_XtoYHto4B_MX-1400_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	67000	4.5099e+13 	4.5099e+13
NMSSM_XtoYHto4B_MX-1400_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	64000	3.04265e+13 	3.04265e+13
NMSSM_XtoYHto4B_MX-1400_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.41864e+13 	1.41864e+13
NMSSM_XtoYHto4B_MX-1600_MY-60_TuneCP5_13p6TeV_madgraph-pythia8	64000	3.2838e+13 	3.2838e+13
NMSSM_XtoYHto4B_MX-1600_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.43639e+13 	3.43639e+13
NMSSM_XtoYHto4B_MX-1600_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.43347e+13 	3.43347e+13
NMSSM_XtoYHto4B_MX-1600_MY-90_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.43261e+13 	3.43261e+13
NMSSM_XtoYHto4B_MX-1600_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.43061e+13 	3.43061e+13
NMSSM_XtoYHto4B_MX-1600_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.42913e+13 	3.42913e+13
NMSSM_XtoYHto4B_MX-1600_MY-125_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.42131e+13 	3.42131e+13
NMSSM_XtoYHto4B_MX-1600_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.41272e+13 	3.41272e+13
NMSSM_XtoYHto4B_MX-1600_MY-200_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.3876e+13 	3.3876e+13
NMSSM_XtoYHto4B_MX-1600_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	64000	3.17e+13 	3.17e+13
NMSSM_XtoYHto4B_MX-1600_MY-400_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.22299e+13 	3.22299e+13
NMSSM_XtoYHto4B_MX-1600_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	3.10066e+13 	3.10066e+13
NMSSM_XtoYHto4B_MX-1600_MY-600_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.95077e+13 	2.95077e+13
NMSSM_XtoYHto4B_MX-1600_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.56366e+13 	2.56366e+13
NMSSM_XtoYHto4B_MX-1600_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	67000	2.06311e+13 	2.06311e+13
NMSSM_XtoYHto4B_MX-1600_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.43822e+13 	1.43822e+13
NMSSM_XtoYHto4B_MX-1600_MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	64000	6.04927e+12 	6.04927e+12
NMSSM_XtoYHto4B_MX-1800_MY-70_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.74021e+13 	1.74021e+13
NMSSM_XtoYHto4B_MX-1800_MY-80_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.82134e+13 	1.82134e+13
NMSSM_XtoYHto4B_MX-1800_MY-95_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.81996e+13 	1.81996e+13
NMSSM_XtoYHto4B_MX-1800_MY-100_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.8192e+13 	1.8192e+13
NMSSM_XtoYHto4B_MX-1800_MY-150_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.73035e+13 	1.73035e+13
NMSSM_XtoYHto4B_MX-1800_MY-300_TuneCP5_13p6TeV_madgraph-pythia8	64000	1.69403e+13 	1.69403e+13
NMSSM_XtoYHto4B_MX-1800_MY-500_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.68159e+13 	1.68159e+13
NMSSM_XtoYHto4B_MX-1800_MY-800_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.45782e+13 	1.45782e+13
NMSSM_XtoYHto4B_MX-1800_MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	67000	1.2508e+13 	1.2508e+13
NMSSM_XtoYHto4B_MX-1800_MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	67000	9.95415e+12 	9.95415e+12
NMSSM_XtoYHto4B_MX-1800_MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	67000	6.8763e+12 	6.8763e+12
