Sample	 Entries 	 SumofLHEWeights 	 SumofGENWeights
NMSSM-XtoYHto4B_Par-MX-1600-MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1800-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	98000	2.66575e+13 	2.66575e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.71903e+13 	2.71903e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.7176e+13 	2.7176e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	99000	2.68848e+13 	2.68848e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-95_TuneCP5_13p6TeV_madgraph-pythia8	97000	2.63422e+13 	2.63422e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-100_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.71482e+13 	2.71482e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-125_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1800-MY-150_TuneCP5_13p6TeV_madgraph-pythia8	98000	2.6502e+13 	2.6502e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-200_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.68902e+13 	2.68902e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-300_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.64726e+13 	2.64726e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-400_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.58688e+13 	2.58688e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-500_TuneCP5_13p6TeV_madgraph-pythia8	0	0 	0
NMSSM-XtoYHto4B_Par-MX-1800-MY-600_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.41602e+13 	2.41602e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-800_TuneCP5_13p6TeV_madgraph-pythia8	100000	2.17595e+13 	2.17595e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-1000_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.86693e+13 	1.86693e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-1200_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.48574e+13 	1.48574e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-1400_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.02636e+13 	1.02636e+13
NMSSM-XtoYHto4B_Par-MX-1800-MY-1600_TuneCP5_13p6TeV_madgraph-pythia8	100000	4.48031e+12 	4.48031e+12
NMSSM-XtoYHto4B_Par-MX-2000-MY-60_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.49489e+13 	1.49489e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-70_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.49443e+13 	1.49443e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-80_TuneCP5_13p6TeV_madgraph-pythia8	100000	1.49346e+13 	1.49346e+13
NMSSM-XtoYHto4B_Par-MX-2000-MY-90_TuneCP5_13p6TeV_madgraph-pythia8	99000	1.47841e+13 	1.47841e+13
